date,relative_dates,year_month,stars,review
3 Monaten,2022-11-02 21:52:58.220253,11/2022,3,
3 Monaten,2022-11-02 21:52:58.220253,11/2022,1,
3 Monaten,2022-11-02 21:52:58.220253,11/2022,5,(Übersetzt von Google) Sehr breit gefächert und groß. Freundliches Personal(Original)Zeer ruim assortiment en groot. Vriendelijk personeel
4 Monaten,2022-10-03 21:52:58.220253,10/2022,3,
4 Monaten,2022-10-03 21:52:58.220253,10/2022,5,Es ist alles zu bekommen was man fürs Haus braucht. Der Service ist auch sehr gut 👍
4 Monaten,2022-10-03 21:52:58.220253,10/2022,4,Nur die Preise sind noch zu hoch
4 Monaten,2022-10-03 21:52:58.220253,10/2022,5,
4 Monaten,2022-10-03 21:52:58.220253,10/2022,5,Sehr nettes Personal
4 Monaten,2022-10-03 21:52:58.220253,10/2022,5,
4 Monaten,2022-10-03 21:52:58.220253,10/2022,4,
4 Monaten,2022-10-03 21:52:58.220253,10/2022,4,
4 Monaten,2022-10-03 21:52:58.220253,10/2022,4,"(Übersetzt von Google) Alle Notwendigkeiten für zu Hause, die Sie brauchen(Original)كل ما تحتاجه من مستلزمات المنزل"
4 Monaten,2022-10-03 21:52:58.220253,10/2022,5,
4 Monaten,2022-10-03 21:52:58.220253,10/2022,5,Bester Baumarkt in Duisburg und Umgebung
4 Monaten,2022-10-03 21:52:58.220253,10/2022,5,Gute Auswahl und annehmbare Preise.
4 Monaten,2022-10-03 21:52:58.220253,10/2022,5,
4 Monaten,2022-10-03 21:52:58.220253,10/2022,5,"Gute Preise, große Auswahl"
4 Monaten,2022-10-03 21:52:58.220253,10/2022,5,
4 Monaten,2022-10-03 21:52:58.220253,10/2022,4,
4 Monaten,2022-10-03 21:52:58.220253,10/2022,5,
4 Monaten,2022-10-03 21:52:58.220253,10/2022,5,Sehr freundlich und sehr kompetent
4 Monaten,2022-10-03 21:52:58.220253,10/2022,5,"Nettes fachkundiges Personal, gut sortiert. Wer nur Obj oder andere kennt, wird begeistert sein!"
4 Monaten,2022-10-03 21:52:58.220253,10/2022,4,
4 Monaten,2022-10-03 21:52:58.220253,10/2022,4,
4 Monaten,2022-10-03 21:52:58.220253,10/2022,5,(Übersetzt von Google) Tolles Sortiment. Angemessene Preise.(Original)Отличный ассортимент. Приемлимые цены.
4 Monaten,2022-10-03 21:52:58.220253,10/2022,5,Gut(Übersetzt von Google)Darm
4 Monaten,2022-10-03 21:52:58.220253,10/2022,5,"Alles top, wie immer.Parkplatz: Genug PlatzParkplätze
Viele freie Parkplätze

Art der Parkplätze
Kostenlose Parkplätze …Mehr"
